latitude,longitude,taken_date,t2m,d2m,tp
55,54.5,2017-08-08,289.775,286.554,0.0329971
54.25,49.75,2017-08-08,290.92,287.794,0
54.5,52.75,2017-08-07,290.187,286.189,0.0280457
54.5,53,2017-08-12,290.137,284.695,0.374508
54.25,52,2017-08-12,289.975,284.766,0.308517
54.5,51,2017-08-13,288.543,282.928,1.88079
54.75,52.5,2017-08-11,290.261,284.114,0.0148468
55,52.25,2017-08-13,286.973,282.25,0.691273
54,50,2017-08-10,289.194,283.084,0.00494766
55.75,53,2017-08-09,290.395,284.087,0.709423
56,51.75,2017-08-07,291.955,286.182,0.135284
56.5,51.75,2017-08-11,289.359,285.495,0.338211
56.75,49.75,2017-08-13,287.143,282.247,0.343163
53.75,48.5,2017-08-09,291.278,283.624,1.40894
56.75,53.5,2017-08-11,290.366,284.437,0
54,52.25,2017-08-09,290.26,283.82,0.851307
55.75,52.75,2017-08-08,290.964,288.379,0.0626945
54.5,51.75,2017-08-13,287.022,282.594,0.765514
54.75,52.75,2017-08-12,289.564,285.055,0.128685
54.75,53,2017-08-07,290.954,286.184,0.00989914
55,49.25,2017-08-09,291.604,286.138,7.2526
55.75,49,2017-08-13,288.656,284.851,0.211178
56,51,2017-08-07,290.768,287.046,0.0956879
56,49,2017-08-08,290.887,285.491,0.115486
56,52.75,2017-08-13,288.05,281.86,0.526291
56,51.25,2017-08-10,289.209,283.831,0.925549
56,55.75,2017-08-09,286.592,279.84,1.05423
55,47.25,2017-08-13,287.989,284.913,0.496593
53.5,53,2017-08-10,287.529,279.578,0
53.75,50,2017-08-13,290.846,284.636,1.99793
54,49.75,2017-08-07,292.444,286.138,0
56.25,50.5,2017-08-11,290.778,285.112,0.217777
56.5,51,2017-08-11,289.685,285.848,0.65168
54.25,52.25,2017-08-12,289.897,284.725,0.53619
55,52,2017-08-13,287.136,282.09,0.585686
56,47.5,2017-08-07,291.122,289.536,0.239223
55.5,48.5,2017-08-12,290.825,284.854,0.0148468
55.5,48.75,2017-08-07,292.332,287.464,0.00824738
56,53.75,2017-08-09,288.204,282.62,0.859554
56.25,54,2017-08-11,290.632,284.429,0
56.5,54.75,2017-08-13,285.804,280.541,3.90842
56.5,47.5,2017-08-11,291.576,288.222,0.26067
53.25,51,2017-08-13,292.229,284.923,2.25365
56.75,49.25,2017-08-07,290.326,287.222,0.697872
56.75,54.5,2017-08-12,288.92,285.281,2.7222
53.25,52.75,2017-08-07,291.644,286.476,0
53.25,53,2017-08-12,291.047,285.192,0.00494766
55.75,50,2017-08-13,288.222,282.676,1.26046
53.5,47.25,2017-08-13,288.976,283.512,0.805111
54,51.25,2017-08-08,290.921,286.29,0
55.5,51.75,2017-08-13,287.556,282.237,0.841408
53.5,52,2017-08-13,289.139,284.265,4.49741
54,49,2017-08-10,292.141,286.615,0.509792
55,53,2017-08-10,290.213,281.753,0.367908
56,50,2017-08-08,290.423,285.136,0.0131989
53.25,47.5,2017-08-13,289.975,283.39,0.722622
57,50.25,2017-08-12,288.2,284.678,1.56568
53,50.25,2017-08-12,292.959,286.13,0
53.25,54.75,2017-08-11,289.685,283.089,0
53.5,49.25,2017-08-09,292.873,287.026,0.0544434
53.75,52.75,2017-08-08,291.872,287.812,0
53.75,49,2017-08-13,292.211,286.778,1.48318
54.5,48.5,2017-08-12,292.979,287.33,0.72097
54.25,48,2017-08-08,290.554,289.348,0
54.25,49.5,2017-08-08,290.823,288.173,0
54.25,51.75,2017-08-10,287.926,282.521,0.00659943
54.5,48.75,2017-08-07,298.102,289.369,0
56.75,47,2017-08-12,290.057,285.509,0.81171
55.75,48.5,2017-08-09,290.162,285.886,0.0445442
56.5,55.25,2017-08-08,289.573,286.109,0.151783
56.5,56,2017-08-12,287.681,285.681,0.707771
56.75,49.5,2017-08-13,287.014,282.202,0.422352
56.75,53.25,2017-08-12,289.188,284.442,1.64817
56.75,48,2017-08-13,287.974,283.382,0.176529
57,48.75,2017-08-10,286.811,284.776,2.2685
53.25,52.5,2017-08-07,291.856,286.093,0
55.5,53,2017-08-11,291.413,283.971,0.00989914
56.25,52.25,2017-08-09,288.851,281.265,0.0247459
56.5,52.25,2017-08-10,288.389,283.273,0.0478439
53,49.25,2017-08-08,292.993,287.26,0
53.75,54.75,2017-08-09,291.053,281.852,1.29346
54,50.5,2017-08-11,293.101,282.997,0
56.25,50,2017-08-10,287.393,284.425,3.01917
56.5,50,2017-08-09,288.728,285.28,0.00494766
53.75,52.5,2017-08-08,291.708,287.459,0
53,48.75,2017-08-10,290.622,283.849,0
54.5,51.5,2017-08-09,290.113,284.038,0.843056
54.5,56,2017-08-13,287.274,281.235,5.23158
54,54,2017-08-11,289.756,282.869,0
54.75,48.75,2017-08-11,292.592,285.565,0.046196
55.75,51.5,2017-08-12,290.397,284.856,1.46834
55.5,54.75,2017-08-12,289.307,285.978,1.7884
54.75,51.5,2017-08-08,290.677,287.158,0
54.25,47.25,2017-08-11,290.207,284.51,0.0148468
56,55.25,2017-08-09,286.726,280.353,1.06908
56.5,48.5,2017-08-13,287.818,283.139,0.577435
56.75,50.75,2017-08-12,288.672,284.885,1.62672
56.25,49.75,2017-08-07,290.686,287.588,0.183128
57,49.25,2017-08-08,289.183,285.407,0.272221
53.75,51.5,2017-08-12,291.261,285.121,0
54.25,52,2017-08-11,291.12,284.387,0
54.5,53,2017-08-11,291.109,283.731,0
54.25,54.25,2017-08-08,290.201,288.035,0
54.25,56,2017-08-10,285.846,277.939,0.0296974
54.75,52.5,2017-08-12,289.5,285.119,0.285419
55.25,51.5,2017-08-10,289.816,283.544,0.16333
56.5,51.75,2017-08-12,289.29,284.312,1.55578
55.75,52.5,2017-08-08,290.58,288.178,0.0676422
56,52.5,2017-08-13,287.685,281.663,0.277168
56.25,49,2017-08-10,287.286,284.474,0.866154
56.25,51.25,2017-08-08,290.188,285.537,0.140236
56.5,49,2017-08-09,288.659,285.419,0.0577431
56.5,55.75,2017-08-08,289.385,286.742,0.259022
56,47.75,2017-08-12,291.164,285.495,0.549389
56.75,53.5,2017-08-12,289.111,284.606,1.89729
56.75,54.25,2017-08-13,285.595,281.71,4.25488
53.25,48.5,2017-08-11,293.276,283.689,0.0247459
54.5,54.75,2017-08-12,290.445,284.827,1.68776
54.75,47.75,2017-08-13,290.611,284.025,1.27201
